ticker,volume,vwap,open,close,high,low,timestamp,trade_count,price_change,volatility,volume_surge,rsi,macd_line,macd_signal,macd_diff,adx,atr,buy_signal,mfi,ticker_encoded,T
CNCKW,464815.0,0.8582,0.86,0.7,0.86,0.7,1970-01-01 00:29:02.414400,71.0,-0.186046511627907,0.22857142857142862,4.67533238247169,46.755139753291104,-3.682439838509204,-3.727491201347733,0.04505136283852895,4.345023794857101,22.36943199882959,1,0,0,CNCKW
BNAIW,13978.0,0.02047,0.0305,0.0305,0.0305,0.0305,1970-01-01 00:29:02.414400,6.0,0.0,0.0,3.563089472342595,46.86414547996114,1.4260011995179873,1.017802294178685,0.40819890533930225,5.267790963715108,28.57354087102674,1,0,0,BNAIW
ISRLW,48935.0,0.1044,0.1,0.1081,0.11,0.098,1970-01-01 00:29:02.414400,42.0,0.08099999999999996,0.12244897959183669,2.046924280324262,47.13293953662985,0.8391382687200206,0.07279348930355978,0.7663447794164608,5.700562914917354,28.7601284601023,1,0,0,ISRLW
LANV.WS,303057.0,0.01767,0.02,0.0157,0.0219,0.0157,1970-01-01 00:29:02.414400,117.0,-0.21500000000000008,0.3949044585987262,3.765852749301025,47.123507883829234,9.089713631767857,3.2386237817222048,5.8510898500456525,8.793920267803568,40.698692786294096,1,0,0,LANV.WS
ASTLW,72877.0,0.5203,0.52,0.45,0.568226,0.4425,1970-01-01 00:29:02.414400,157.0,-0.13461538461538464,0.2841265536723164,2.7316650798767554,46.22019769320769,0.37621459043268146,0.024466647700207123,0.35174794273247434,5.493782011255485,20.58307858057958,1,0,0,ASTLW
DFLIW,26337.0,0.02726,0.0252,0.0277,0.0295,0.0251,1970-01-01 00:29:02.414400,44.0,0.09920634920634916,0.1752988047808764,2.66030303030303,45.72797156705207,-2.614948085997396,-3.0889926647486883,0.47404457875129236,4.676857742617682,16.453318448565575,1,0,0,DFLIW
BNZIW,6024.0,0.01708,0.0175,0.016968,0.0175,0.0169,1970-01-01 00:29:02.414400,15.0,-0.030400000000000066,0.03550295857988186,2.713024680237795,46.40694436736386,4.120328675943185,3.929124754304935,0.19120392163824995,6.905223400717416,33.33320413753963,1,0,0,BNZIW
RIBBR,250812.0,0.1598,0.155,0.16,0.17,0.155,1970-01-01 00:29:02.414400,38.0,0.03225806451612906,0.09677419354838718,4.218461445308952,47.94541824167734,57.87027109039846,52.56342084163002,5.306850248768441,8.589200829085685,282.6363910240811,1,0,0,RIBBR
ZAPPW,6235.0,0.009072,0.0072,0.0094,0.0094,0.0072,1970-01-01 00:29:02.414400,32.0,0.30555555555555564,0.30555555555555564,2.488823247644899,47.45017191360115,-18.34361883405015,-20.22175136720559,1.8781325331554406,3.7804436902518543,58.269356584743555,1,0,0,ZAPPW
EUDAW,5705.0,0.1282,0.12,0.13,0.13,0.12,1970-01-01 00:29:02.414400,13.0,0.08333333333333341,0.08333333333333341,2.520544313864098,47.32480552010532,-13.566589255689863,-16.07946904855188,2.512879792862016,3.337859940279047,45.84830507771908,1,0,0,EUDAW
LSBPW,45163.0,0.03523,0.036,0.0356,0.043,0.0322,1970-01-01 00:29:02.414400,49.0,-0.011111111111111044,0.33540372670807445,4.381354287931703,46.415249282951855,-1.5877642362491287,-1.9173913570715253,0.32962712082239665,3.5213325608437183,26.349776929996438,1,0,0,LSBPW
GLACR,8822.0,0.2312,0.2317,0.2388,0.2452,0.2101,1970-01-01 00:29:02.414400,27.0,0.030643072939145546,0.1670633031889576,4.070314662729538,45.63254528126253,-0.477276800256913,-0.7781997248794825,0.30092292462256953,4.6288109071536985,18.12254421599428,1,0,0,GLACR
NLSPW,13966.0,0.01173,0.00779,0.0108,0.0149,0.0075,1970-01-01 00:29:02.414400,29.0,0.3863928112965341,0.9866666666666667,3.022682018872825,44.37561050528804,2.3079598466302436,2.128910168160195,0.1790496784700486,5.128916703565423,19.194233564728638,1,0,0,NLSPW
