ticker,volume,vwap,open,close,high,low,timestamp,trade_count,price_change,volatility,volume_surge,rsi,macd_line,macd_signal,macd_diff,adx,atr,buy_signal,mfi,ticker_encoded
LYT,16794706.0,0.06588,0.0718,0.0637,0.0718,0.0616,1970-01-01 00:29:02.414400,13640.0,-0.11281337047353755,0.16558441558441558,4.94585817545379,46.03184370095885,-1.7899523683415737,3.3420852275334716,-5.132037595875046,5.605268819635761,49.884356160717836,1,0,0
PSTV,2371967.0,0.5325,0.577,0.511,0.5771,0.4907,1970-01-01 00:29:02.414400,4796.0,-0.11438474870017323,0.17607499490523726,1.5589470940414398,46.90105545295062,-5.133704324313712,-4.408903609320541,-0.7248007149931706,4.4634669902317015,28.25520108580498,1,0,0
WCT,15972247.0,0.2551,0.3528,0.26,0.3653,0.2214,1970-01-01 00:29:02.414400,14320.0,-0.26303854875283444,0.6499548328816621,4.301922815562248,46.997668692453814,-0.46260522912118773,-0.45896691860546673,-0.0036383105157209994,4.81877748260144,31.25243922977126,1,0,0
UNCY,1749290.0,0.6461,0.5948,0.6639,0.68,0.5901,1970-01-01 00:29:02.414400,2224.0,0.11617350369872234,0.15234705982036958,1.385882943124205,46.53861342571295,-1.8522931451530908,1.4048836182753206,-3.2571767634284114,5.12279505318172,39.70190201497366,0,0,0
EONR,412965.0,0.5274,0.4939,0.5353,0.5578,0.463001,1970-01-01 00:29:02.414400,1063.0,0.08382263616116621,0.2047490178206958,2.755561635060654,46.404997271158436,-1.5190192168866936,0.3614116673144619,-1.8804308842011555,4.910305172154771,32.32487639156164,0,0,0
BURU,37027968.0,0.2671,0.2731,0.24,0.2885,0.2337,1970-01-01 00:29:02.414400,34587.0,-0.12120102526547058,0.2344886606760804,4.963925709856871,46.341554182122785,-4.5219928663405256,3.3508046093553543,-7.872797475695879,6.485673561135785,48.3066313306043,1,0,0
NAUT,545003.0,1.0011,1.07,0.96,1.1,0.9434,1970-01-01 00:29:02.414400,1673.0,-0.10280373831775709,0.165995336018656,1.3404128055202076,47.43093163681999,-5.057511064171219,-4.516166137364316,-0.5413449268069037,3.7615574558149807,53.22955869322055,1,0,0
SENS,11666651.0,0.6431,0.601,0.6737,0.6771,0.601,1970-01-01 00:29:02.414400,16235.0,0.12096505823627286,0.12662229617304502,4.097541113787628,48.10726711672092,-490.8656679965886,-717.0416125078334,226.17594451124478,3.1574110869623397,1232.645563853448,1,0,0
CHPT,29202039.0,0.7018,0.7179,0.7012,0.735,0.6802,1970-01-01 00:29:02.414400,25358.0,-0.023262292798439808,0.08056453984122311,3.420134141880917,46.534724788484134,1.2723660849049523,2.5685004289564413,-1.296134344051489,5.015516348593819,41.98088793354322,1,0,0
LYEL,2329565.0,0.582,0.54,0.5818,0.634,0.5155,1970-01-01 00:29:02.414400,5300.0,0.0774074074074073,0.22987390882638226,3.8788936461848373,46.68663656088284,-5.457049629246384,-1.3452879927443995,-4.111761636501985,4.77585788779759,45.65454036866332,0,0,0
